City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,gorontalo,0.54,123.06,87.42,56,1,6.51,ID,1572758932
89,tasiilaq,65.61,-37.64,30.2,63,100,8.05,GL,1572758696
90,namtsy,62.72,129.66,17.6,57,40,4.47,RU,1572758932
91,meadow lake,54.13,-108.44,31.82,99,100,3.42,CA,1572758933
92,kaitangata,-46.28,169.85,58.14,62,0,10.58,NZ,1572758706
93,beyneu,45.32,55.19,33.4,95,100,19.84,KZ,1572758933
94,mandera,3.94,41.86,82.0,22,5,1.01,ET,1572758933
95,adrar,27.87,-0.29,60.8,48,0,4.7,DZ,1572758933
96,qaanaaq,77.48,-69.36,13.21,58,100,8.84,GL,1572758699
97,kloulklubed,7.04,134.26,82.4,78,90,9.17,PW,1572758644
98,hithadhoo,-0.6,73.08,82.38,66,28,1.99,MV,1572758551
99,port elizabeth,39.31,-74.98,46.0,76,1,4.7,US,1572758706
100,axim,4.87,-2.24,73.8,91,91,2.19,GH,1572758678
101,saint george,39.45,22.34,50.0,93,20,5.82,GR,1572758716
102,mahebourg,-20.41,57.7,75.0,83,75,17.22,MU,1572758738
103,port hedland,-20.31,118.58,100.4,8,0,11.41,AU,1572758794
104,ola,59.58,151.3,36.43,88,100,30.51,RU,1572758936
105,salalah,17.01,54.1,86.0,70,75,3.36,OM,1572758777
106,horizontina,-27.63,-54.31,73.0,79,47,3.0,BR,1572758936
107,saint-philippe,45.36,-73.48,41.0,86,90,4.7,CA,1572758713
108,nyrob,60.74,56.73,22.19,91,77,4.72,RU,1572758807
109,tual,-5.67,132.75,82.35,78,96,12.39,ID,1572758802
110,turayf,31.68,38.65,57.2,82,0,4.7,SA,1572758937
111,umea,63.83,20.26,24.8,79,0,6.93,SE,1572758811
112,khatanga,71.98,102.47,-11.13,98,92,6.22,RU,1572758702
113,kristiansund,63.12,7.73,35.6,64,0,25.28,NO,1572758773
114,isla vista,34.41,-119.86,61.0,29,1,4.36,US,1572758939
115,vao,59.1,26.19,40.1,98,100,7.11,EE,1572758814
116,ribeira grande,38.52,-28.7,61.0,82,99,9.64,PT,1572758681
117,xinqing,48.28,129.53,30.63,27,0,10.47,CN,1572758940
118,santa rosa,-36.62,-64.29,51.48,44,0,5.93,AR,1572758940
119,dongning,44.06,131.12,42.67,25,0,9.26,CN,1572758940
120,kariba,-16.53,28.78,85.71,31,0,6.8,ZW,1572758940
121,longyearbyen,78.22,15.63,12.2,72,40,17.22,NO,1572758734
122,kavieng,-2.57,150.8,81.52,80,100,15.12,PG,1572758741
123,waipawa,-39.94,176.59,70.0,70,9,5.01,NZ,1572758941
124,saskylakh,71.97,114.09,-2.21,98,100,5.21,RU,1572758678
125,kavaratti,10.57,72.64,81.55,71,0,5.01,IN,1572758768
126,merritt island,28.54,-80.67,77.0,100,90,9.17,US,1572758942
127,toora-khem,52.47,96.11,27.93,59,100,10.54,RU,1572758942
128,parfenyevo,58.48,43.41,31.75,91,100,12.33,RU,1572758942
129,guerrero negro,27.97,-114.04,67.69,41,56,7.11,MX,1572758737
130,new norfolk,-42.78,147.06,64.99,72,75,10.29,AU,1572758682
131,ajdabiya,30.75,20.22,65.41,76,0,5.48,LY,1572758943
132,haines junction,60.75,-137.51,29.79,98,100,3.04,CA,1572758788
133,san angelo,31.46,-100.44,44.01,60,1,4.7,US,1572758841
134,bredasdorp,-34.53,20.04,60.8,67,0,6.93,ZA,1572758709
135,fort nelson,58.81,-122.69,28.4,92,90,8.05,CA,1572758944
136,bonthe,7.53,-12.5,76.14,81,51,5.46,SL,1572758944
137,harper,30.3,-99.24,51.01,60,1,3.36,US,1572758944
138,hasaki,35.73,140.83,66.2,82,75,2.24,JP,1572758684
139,ozernovskiy,51.5,156.52,39.42,77,85,11.79,RU,1572758945
140,sitka,37.17,-99.65,39.99,48,0,11.01,US,1572758721
141,vilcun,-38.65,-72.23,42.8,100,1,2.24,CL,1572758945
142,warmbad,50.67,13.08,55.0,87,100,8.05,DE,1572758946
143,fukuma,33.77,130.47,71.01,60,75,2.24,JP,1572758946
144,tabuk,17.41,121.44,86.68,66,82,3.47,PH,1572758946
145,fairbanks,64.84,-147.72,21.2,100,90,3.36,US,1572758432
146,arraial do cabo,-22.97,-42.02,72.77,88,7,26.11,BR,1572758679
147,geraldton,49.72,-86.95,24.8,85,90,6.93,CA,1572758713
148,colomi,-17.34,-65.87,62.6,45,3,4.7,BO,1572758947
149,rawson,-43.3,-65.11,57.38,49,28,12.41,AR,1572758783
150,ranchi,23.37,85.33,75.2,69,40,3.36,IN,1572758948
151,merke,42.87,73.19,54.77,65,100,6.02,KZ,1572758948
152,cap malheureux,-19.98,57.61,75.0,83,75,17.22,MU,1572758949
153,pangai,-19.8,-174.35,72.77,74,100,20.94,TO,1572758949
154,umm lajj,25.02,37.27,78.64,35,0,5.86,SA,1572758746
155,mantua,45.16,10.79,53.01,100,75,5.82,IT,1572758950
156,coihaique,-45.58,-72.07,53.6,54,88,6.93,CL,1572758790
157,nanortalik,60.14,-45.24,33.06,63,0,1.59,GL,1572758704
158,alice springs,-23.7,133.88,82.4,20,1,16.11,AU,1572758683
159,klaksvik,62.23,-6.59,41.0,65,87,21.92,FO,1572758550
160,chuguyevka,44.17,133.87,32.7,44,0,7.29,RU,1572758951
161,panjab,34.38,67.02,37.71,53,67,5.23,AF,1572758781
162,barrow,-38.31,-60.23,44.92,69,0,6.91,AR,1572758728
163,santa barbara,34.42,-119.7,61.0,29,1,7.09,US,1572758949
164,esperance,-33.86,121.89,68.0,45,29,18.34,AU,1572758715
165,horqueta,-23.34,-57.05,85.19,41,92,4.34,PY,1572758952
166,lagoa,37.14,-8.45,64.99,82,20,14.99,PT,1572758695
167,novoagansk,61.94,76.66,11.21,95,82,6.6,RU,1572758953
168,amarante do maranhao,-5.57,-46.74,73.9,82,29,4.25,BR,1572758953
169,chokurdakh,70.62,147.9,-6.74,99,76,7.23,RU,1572758720
170,grindavik,63.84,-22.43,41.0,58,100,10.29,IS,1572758733
171,leningradskiy,69.38,178.42,11.37,75,8,9.37,RU,1572758735
172,nome,30.04,-94.42,51.01,93,1,4.97,US,1572758764
173,springbok,-29.67,17.88,66.2,22,19,3.36,ZA,1572758955
174,airai,-8.93,125.41,85.08,35,9,9.17,TL,1572758697
175,vostok,46.45,135.83,25.41,73,83,5.59,RU,1572758955
176,edeia,-17.34,-49.93,72.86,76,99,5.01,BR,1572758955
177,constantine,36.36,6.61,59.0,77,11,9.17,DZ,1572758956
178,moree,-29.46,149.84,89.6,27,40,18.34,AU,1572758956
179,suntar,62.16,117.65,30.42,73,100,10.67,RU,1572758956
180,goa velha,15.43,73.87,84.2,66,40,3.36,IN,1572758956
181,kruisfontein,-34.0,24.73,63.73,70,18,17.18,ZA,1572758542
182,maniitsoq,65.42,-52.9,28.47,52,50,6.29,GL,1572758680
183,pevek,69.7,170.27,13.33,78,34,13.62,RU,1572758549
184,sorland,67.67,12.69,40.48,64,24,18.14,NO,1572758687
185,faanui,-16.48,-151.75,81.52,81,50,8.41,PF,1572758714
186,aklavik,68.22,-135.01,23.0,100,90,3.36,CA,1572758779
187,kichera,55.93,110.1,31.06,88,100,1.63,RU,1572758958
188,gizo,31.8,34.94,66.2,72,20,1.12,IL,1572758958
189,havelock,34.88,-76.9,53.6,71,1,11.41,US,1572758780
190,blyth,55.12,-1.5,48.0,100,75,13.87,GB,1572758959
191,comodoro rivadavia,-45.87,-67.48,60.8,36,100,31.09,AR,1572758751
192,ponta delgada,37.73,-25.67,64.4,72,75,3.36,PT,1572758959
193,duliagaon,27.37,95.32,82.4,54,0,5.82,IN,1572758960
194,srednekolymsk,67.46,153.71,-0.57,96,93,5.39,RU,1572758700
195,cururupu,-1.82,-44.87,73.8,96,25,4.27,BR,1572758960
196,grand gaube,-20.01,57.66,75.0,83,75,17.22,MU,1572758741
197,baiyin,36.55,104.13,55.4,30,0,4.47,CN,1572758961
198,port lincoln,-34.72,135.86,63.01,45,62,16.46,AU,1572758961
199,santa elena,-2.23,-80.86,71.49,88,100,14.7,EC,1572758961
200,rawlins,41.79,-107.24,35.6,68,1,9.04,US,1572758961
201,quatre cocos,-20.21,57.76,75.0,83,75,17.22,MU,1572758663
202,lazaro cardenas,28.39,-105.62,55.99,81,100,1.99,MX,1572758794
203,fort-shevchenko,44.51,50.26,38.98,55,0,16.26,KZ,1572758963
204,mbeya,-8.91,33.47,70.56,46,12,5.32,TZ,1572758963
205,cherskiy,68.75,161.3,13.53,85,100,7.94,RU,1572758690
206,invermere,50.51,-116.03,28.0,75,78,2.51,CA,1572758744
207,prince george,53.92,-122.75,37.99,100,1,9.17,CA,1572758761
208,sambava,-14.27,50.17,75.65,88,77,4.21,MG,1572758964
